"YEAR","GEO","DGUID","Type of unit","UOM","COORDINATE","VALUE"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2","515"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.3.2",
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","561"
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","563"
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","603"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","659"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","615"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","621"
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","593"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","642"
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","665"
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","656"
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.3.3","696"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.3.4",
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.3.4",
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.3.4",
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.3.4",
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.3.4",
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.3.4",
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.3.4",
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.3.4",
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.3.4",
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.3.4",
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.3.4",
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.2.2",
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.2.2",
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.2.2",
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.2.2",
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.2.2",
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.2.2",
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.2.2",
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.2.2",
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.2.2",
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.2.2",
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.2.2",
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.2.3",
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.2.3",
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.2.3",
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.2.3",
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.2.3",
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.2.3",
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.2.3",
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.2.3",
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.2.3",
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.2.3",
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.2.3",
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.2.4",
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.2.4",
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.2.4",
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.2.4",
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.2.4",
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.2.4",
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.2.4",
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.2.4",
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.2.4",
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.2.4",
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.2.4",
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.1.2",
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.1.2",
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.1.2",
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.1.2",
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.1.2",
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.1.2",
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.1.2",
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.1.2",
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.1.2",
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.1.2",
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","One bedroom units","Dollars","192.1.2",
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.1.3","561"
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.1.3","563"
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.1.3","593"
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.1.3","632"
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.1.3","575"
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.1.3",
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.1.3","591"
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.1.3","621"
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.1.3","628"
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.1.3",
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Two bedroom units","Dollars","192.1.3","677"
"2011","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.1.4",
"2012","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.1.4",
"2013","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.1.4",
"2014","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.1.4",
"2015","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.1.4",
"2016","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.1.4",
"2017","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.1.4",
"2018","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.1.4",
"2019","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.1.4",
"2020","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.1.4",
"2021","Bay Roberts, Newfoundland and Labrador","2011S0504005","Three bedroom units","Dollars","192.1.4",
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.3.2","503"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.3.2","521"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.3.2","551"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.3.2","574"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.3.2","582"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.3.2","610"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.3.2","610"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.3.2","612"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.3.2","632"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.3.2","643"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.3.2","654"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.3.3","584"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.3.3","610"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.3.3","705"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.3.3","739"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.3.3","733"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.3.3","756"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.3.3","760"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.3.3","759"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.3.3","771"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.3.3","813"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.3.3","814"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.3.4","734"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.3.4","738"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.3.4","795"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.3.4","769"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.3.4","798"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.3.4","835"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.3.4","858"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.3.4","821"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.3.4","870"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.3.4","829"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.3.4","857"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.2.2",
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.2.2",
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.2.2",
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.2.2",
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.2.2",
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.2.2",
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.2.2",
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.2.2",
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.2.2",
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.2.2",
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.2.2",
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.2.3",
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.2.3",
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.2.3",
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.2.3",
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.2.3",
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.2.3",
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.2.3",
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.2.3",
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.2.3",
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.2.3",
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.2.3",
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.2.4",
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.2.4",
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.2.4",
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.2.4",
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.2.4",
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.2.4",
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.2.4",
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.2.4",
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.2.4",
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.2.4",
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.2.4",
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.1.2","507"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.1.2","527"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.1.2","556"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.1.2","574"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.1.2","582"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.1.2","610"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.1.2","610"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.1.2","612"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.1.2","632"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.1.2","643"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","One bedroom units","Dollars","2.1.2","654"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.1.3","584"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.1.3","610"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.1.3","706"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.1.3","743"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.1.3","733"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.1.3","756"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.1.3","760"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.1.3","759"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.1.3","774"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.1.3","813"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Two bedroom units","Dollars","2.1.3","814"
"2011","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.1.4","737"
"2012","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.1.4","740"
"2013","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.1.4","798"
"2014","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.1.4","776"
"2015","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.1.4","798"
"2016","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.1.4","813"
"2017","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.1.4","843"
"2018","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.1.4","821"
"2019","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.1.4","818"
"2020","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.1.4","829"
"2021","Corner Brook, Newfoundland and Labrador","2011S0504015","Three bedroom units","Dollars","2.1.4","854"
"2011","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.3.2",
"2012","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.3.2","533"
"2013","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.3.2","567"
"2014","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.3.2","571"
"2015","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.3.2","581"
"2016","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.3.2","594"
"2017","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.3.2","600"
"2018","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.3.2","584"
"2019","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.3.2","628"
"2020","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.3.2","627"
"2021","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.3.2","611"
"2011","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.3.3",
"2012","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.3.3","642"
"2013","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.3.3","680"
"2014","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.3.3","687"
"2015","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.3.3","709"
"2016","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.3.3","718"
"2017","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.3.3","732"
"2018","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.3.3","727"
"2019","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.3.3","761"
"2020","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.3.3","761"
"2021","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.3.3","796"
"2011","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.3.4","663"
"2012","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.3.4","684"
"2013","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.3.4","696"
"2014","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.3.4","694"
"2015","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.3.4","721"
"2016","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.3.4","732"
"2017","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.3.4","754"
"2018","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.3.4","771"
"2019","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.3.4","771"
"2020","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.3.4","782"
"2021","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.3.4",
"2011","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.2.2",
"2012","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.2.2",
"2013","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.2.2",
"2014","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.2.2",
"2015","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.2.2",
"2016","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.2.2",
"2017","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.2.2",
"2018","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.2.2",
"2019","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.2.2",
"2020","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.2.2",
"2021","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.2.2",
"2011","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.2.3",
"2012","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.2.3","842"
"2013","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.2.3","860"
"2014","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.2.3","858"
"2015","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.2.3","880"
"2016","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.2.3","893"
"2017","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.2.3","902"
"2018","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.2.3","871"
"2019","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.2.3","924"
"2020","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.2.3","893"
"2021","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.2.3","1036"
"2011","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.2.4",
"2012","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.2.4",
"2013","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.2.4",
"2014","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.2.4",
"2015","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.2.4",
"2016","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.2.4",
"2017","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.2.4",
"2018","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.2.4",
"2019","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.2.4",
"2020","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.2.4",
"2021","Gander, Newfoundland and Labrador","2011A00051006009","Three bedroom units","Dollars","3.2.4",
"2011","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.1.2",
"2012","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.1.2","533"
"2013","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.1.2","567"
"2014","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.1.2","571"
"2015","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.1.2","581"
"2016","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.1.2","594"
"2017","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.1.2","600"
"2018","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.1.2","584"
"2019","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.1.2","628"
"2020","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.1.2","627"
"2021","Gander, Newfoundland and Labrador","2011A00051006009","One bedroom units","Dollars","3.1.2","611"
"2011","Gander, Newfoundland and Labrador","2011A00051006009","Two bedroom units","Dollars","3.1.3",
