Date,Inflation Rate,Simple Growth Rate %,Y-o-Y Change %,Annual % Rate,Type
Feb-28-1969,3.78,NM,NM,NM,Actual
Jan-31-1969,3.78,NM,NM,NM,Actual
Dec-31-1968,4.35,NM,NM,NM,Actual
Nov-30-1968,4.92,NM,NM,NM,Actual
Oct-31-1968,3.83,NM,NM,NM,Actual
Sep-30-1968,3.83,NM,NM,NM,Actual
Aug-31-1968,3.83,NM,NM,NM,Actual
Jul-31-1968,3.85,NM,NM,NM,Actual
Jun-30-1968,3.31,NM,NM,NM,Actual
May-31-1968,3.33,NM,NM,NM,Actual
Apr-30-1968,3.91,NM,NM,NM,Actual
Mar-31-1968,4.49,NM,NM,NM,Actual
Feb-29-1968,4.52,NM,NM,NM,Actual
Jan-31-1968,4.52,NM,NM,NM,Actual
Dec-31-1967,3.95,NM,NM,NM,Actual
Nov-30-1967,3.98,NM,NM,NM,Actual
Oct-31-1967,3.98,NM,NM,NM,Actual
Sep-30-1967,3.98,NM,NM,NM,Actual
Aug-31-1967,3.98,NM,NM,NM,Actual
Jul-31-1967,4,NM,NM,NM,Actual
Jun-30-1967,3.43,NM,NM,NM,Actual
May-31-1967,3.45,NM,NM,NM,Actual
Apr-30-1967,2.87,NM,NM,NM,Actual
Mar-31-1967,2.89,NM,NM,NM,Actual
Feb-28-1967,2.91,NM,NM,NM,Actual
Jan-31-1967,3.51,NM,NM,NM,Actual
Dec-31-1966,3.51,NM,NM,NM,Actual
Nov-30-1966,3.53,NM,NM,NM,Actual
Oct-31-1966,4.14,NM,NM,NM,Actual
Sep-30-1966,4.14,NM,NM,NM,Actual
Aug-31-1966,4.14,NM,NM,NM,Actual
Jul-31-1966,3.55,NM,NM,NM,Actual
Jun-30-1966,3.55,NM,NM,NM,Actual
May-31-1966,4.19,NM,NM,NM,Actual
Apr-30-1966,4.19,NM,NM,NM,Actual
Mar-31-1966,4.22,NM,NM,NM,Actual
Feb-28-1966,3.61,NM,NM,NM,Actual
Jan-31-1966,3.01,NM,NM,NM,Actual
Dec-31-1965,3.01,NM,NM,NM,Actual
Nov-30-1965,3.03,NM,NM,NM,Actual
Oct-31-1965,2.42,NM,NM,NM,Actual
Sep-30-1965,2.42,NM,NM,NM,Actual
Aug-31-1965,2.42,NM,NM,NM,Actual
Jul-31-1965,2.42,NM,NM,NM,Actual
Jun-30-1965,3.05,NM,NM,NM,Actual
May-31-1965,1.83,NM,NM,NM,Actual
Apr-30-1965,1.83,NM,NM,NM,Actual
Mar-31-1965,1.84,NM,NM,NM,Actual
Feb-28-1965,1.84,NM,NM,NM,Actual
Jan-31-1965,1.84,NM,NM,NM,Actual
Dec-31-1964,1.84,NM,NM,NM,Actual
Nov-30-1964,1.23,NM,NM,NM,Actual
Oct-31-1964,1.85,NM,NM,NM,Actual
Sep-30-1964,1.85,NM,NM,NM,Actual
Aug-31-1964,1.23,NM,NM,NM,Actual
Jul-31-1964,1.85,NM,NM,NM,Actual
Jun-30-1964,2.5,NM,NM,NM,Actual
May-31-1964,2.5,NM,NM,NM,Actual
Apr-30-1964,2.5,NM,NM,NM,Actual
Mar-31-1964,1.88,NM,NM,NM,Actual
Feb-29-1964,1.88,NM,NM,NM,Actual
Jan-31-1964,1.88,NM,NM,NM,Actual
Dec-31-1963,1.88,NM,NM,NM,Actual
Nov-30-1963,1.88,NM,NM,NM,Actual
Oct-31-1963,1.25,NM,NM,NM,Actual
Sep-30-1963,1.89,NM,NM,NM,Actual
Aug-31-1963,1.88,NM,NM,NM,Actual
Jul-31-1963,1.89,NM,NM,NM,Actual
Jun-30-1963,0.63,NM,NM,NM,Actual
May-31-1963,1.27,NM,NM,NM,Actual
Apr-30-1963,1.27,NM,NM,NM,Actual
Mar-31-1963,1.91,NM,NM,NM,Actual
Feb-28-1963,1.91,NM,NM,NM,Actual
Jan-31-1963,1.91,NM,NM,NM,Actual
Dec-31-1962,1.91,NM,NM,NM,Actual
Nov-30-1962,1.91,NM,NM,NM,Actual
Oct-31-1962,1.91,NM,NM,NM,Actual
Sep-30-1962,1.27,NM,NM,NM,Actual
Aug-31-1962,1.91,NM,NM,NM,Actual
Jul-31-1962,1.27,NM,NM,NM,Actual
Jun-30-1962,1.27,NM,NM,NM,Actual
May-31-1962,0.64,NM,NM,NM,Actual
Apr-30-1962,0.64,NM,NM,NM,Actual
Mar-31-1962,0,NM,NM,NM,Actual
Feb-28-1962,0,NM,NM,NM,Actual
Jan-31-1962,0,NM,NM,NM,Actual
Dec-31-1961,0,NM,NM,NM,Actual
Nov-30-1961,0,NM,NM,NM,Actual
Oct-31-1961,0,NM,NM,NM,Actual
Sep-30-1961,1.29,NM,NM,NM,Actual
Aug-31-1961,1.29,NM,NM,NM,Actual
Jul-31-1961,1.29,NM,NM,NM,Actual
Jun-30-1961,1.29,NM,NM,NM,Actual
May-31-1961,1.29,NM,NM,NM,Actual
Apr-30-1961,1.29,NM,NM,NM,Actual
Mar-31-1961,1.95,NM,NM,NM,Actual
Feb-28-1961,1.29,NM,NM,NM,Actual
Jan-31-1961,1.29,NM,NM,NM,Actual
Dec-31-1960,1.29,NM,NM,NM,Actual
Nov-30-1960,1.29,NM,NM,NM,Actual
Oct-31-1960,1.29,NM,NM,NM,Actual
Sep-30-1960,0,NM,NM,NM,Actual
Aug-31-1960,1.31,NM,NM,NM,Actual
Jul-31-1960,1.31,NM,NM,NM,Actual
Jun-30-1960,2.65,NM,NM,NM,Actual
May-31-1960,1.31,NM,NM,NM,Actual
Apr-30-1960,1.97,NM,NM,NM,Actual
Mar-31-1960,1.32,NM,NM,NM,Actual
Feb-29-1960,1.31,NM,NM,NM,Actual
Jan-31-1960,1.31,NM,NM,NM,Actual
Dec-31-1959,1.31,NM,NM,NM,Actual
Nov-30-1959,1.31,NM,NM,NM,Actual
Oct-31-1959,1.31,NM,NM,NM,Actual
Sep-30-1959,1.31,NM,NM,NM,Actual
Aug-31-1959,1.32,NM,NM,NM,Actual
Jul-31-1959,1.32,NM,NM,NM,Actual
Jun-30-1959,0,NM,NM,NM,Actual
May-31-1959,1.32,NM,NM,NM,Actual
Apr-30-1959,0.66,NM,NM,NM,Actual
Mar-31-1959,0.66,NM,NM,NM,Actual
Feb-28-1959,2,NM,NM,NM,Actual
Jan-31-1959,2,NM,NM,NM,Actual
Dec-31-1958,2.68,NM,NM,NM,Actual
Nov-30-1958,2,NM,NM,NM,Actual
Oct-31-1958,2,NM,NM,NM,Actual
Sep-30-1958,2,NM,NM,NM,Actual
Aug-31-1958,1.34,NM,NM,NM,Actual
Jul-31-1958,2.03,NM,NM,NM,Actual
Jun-30-1958,2.03,NM,NM,NM,Actual
May-31-1958,2.72,NM,NM,NM,Actual
Apr-30-1958,2.72,NM,NM,NM,Actual
Mar-31-1958,3.42,NM,NM,NM,Actual
Feb-28-1958,2.74,NM,NM,NM,Actual
Jan-31-1958,2.74,NM,NM,NM,Actual
Dec-31-1957,2.05,NM,NM,NM,Actual
Nov-30-1957,2.74,NM,NM,NM,Actual
Oct-31-1957,3.45,NM,NM,NM,Actual
Sep-30-1957,4.17,NM,NM,NM,Actual
Aug-31-1957,2.76,NM,NM,NM,Actual
Jul-31-1957,2.78,NM,NM,NM,Actual
Jun-30-1957,3.5,NM,NM,NM,Actual
May-31-1957,4.26,NM,NM,NM,Actual
Apr-30-1957,4.26,NM,NM,NM,Actual
Mar-31-1957,3.55,NM,NM,NM,Actual
Feb-28-1957,3.55,NM,NM,NM,Actual
Jan-31-1957,2.82,NM,NM,NM,Actual
Dec-31-1956,2.82,NM,NM,NM,Actual
Nov-30-1956,2.82,NM,NM,NM,Actual
Oct-31-1956,2.11,NM,NM,NM,Actual
Sep-30-1956,1.41,NM,NM,NM,Actual
Aug-31-1956,2.84,NM,NM,NM,Actual
Jul-31-1956,2.13,NM,NM,NM,Actual
Jun-30-1956,1.42,NM,NM,NM,Actual
May-31-1956,0,NM,NM,NM,Actual
Apr-30-1956,0,NM,NM,NM,Actual
Mar-31-1956,0,NM,NM,NM,Actual
Feb-29-1956,0,NM,NM,NM,Actual
Jan-31-1956,0.71,NM,NM,NM,Actual
Dec-31-1955,0.71,NM,NM,NM,Actual
Nov-30-1955,0,NM,NM,NM,Actual
Oct-31-1955,0,NM,NM,NM,Actual
Sep-30-1955,0,NM,NM,NM,Actual
Aug-31-1955,-0.7,NM,NM,NM,Actual
Jul-31-1955,0,NM,NM,NM,Actual
Jun-30-1955,0,NM,NM,NM,Actual
May-31-1955,0.71,NM,NM,NM,Actual
Apr-30-1955,0.71,NM,NM,NM,Actual
Mar-31-1955,0.71,NM,NM,NM,Actual
Feb-28-1955,0,NM,NM,NM,Actual
Jan-31-1955,0,NM,NM,NM,Actual
Dec-31-1954,0,NM,NM,NM,Actual
Nov-30-1954,0.71,NM,NM,NM,Actual
Oct-31-1954,0,NM,NM,NM,Actual
Sep-30-1954,0.71,NM,NM,NM,Actual
Aug-31-1954,0.71,NM,NM,NM,Actual
Jul-31-1954,1.44,NM,NM,NM,Actual
Jun-30-1954,1.44,NM,NM,NM,Actual
May-31-1954,0.72,NM,NM,NM,Actual
Apr-30-1954,0.72,NM,NM,NM,Actual
Mar-31-1954,0.72,NM,NM,NM,Actual
Feb-28-1954,0.71,NM,NM,NM,Actual
Jan-31-1954,0,NM,NM,NM,Actual
Dec-31-1953,0,NM,NM,NM,Actual
Nov-30-1953,0,NM,NM,NM,Actual
Oct-31-1953,0.71,NM,NM,NM,Actual
Sep-30-1953,0,NM,NM,NM,Actual
Aug-31-1953,0,NM,NM,NM,Actual
Jul-31-1953,-1.42,NM,NM,NM,Actual
Jun-30-1953,-1.42,NM,NM,NM,Actual
May-31-1953,-1.42,NM,NM,NM,Actual
Apr-30-1953,-2.11,NM,NM,NM,Actual
Mar-31-1953,-2.11,NM,NM,NM,Actual
Feb-28-1953,-2.1,NM,NM,NM,Actual
Jan-31-1953,-2.08,NM,NM,NM,Actual
Dec-31-1952,-1.4,NM,NM,NM,Actual
Nov-30-1952,-1.4,NM,NM,NM,Actual
Oct-31-1952,-0.7,NM,NM,NM,Actual
Sep-30-1952,0,NM,NM,NM,Actual
Aug-31-1952,0.71,NM,NM,NM,Actual
Jul-31-1952,1.44,NM,NM,NM,Actual
Jun-30-1952,1.44,NM,NM,NM,Actual
May-31-1952,3.68,NM,NM,NM,Actual
Apr-30-1952,4.41,NM,NM,NM,Actual
Mar-31-1952,5.97,NM,NM,NM,Actual
Feb-29-1952,7.52,NM,NM,NM,Actual
Jan-31-1952,10.77,NM,NM,NM,Actual
Dec-31-1951,10.85,NM,NM,NM,Actual
Nov-30-1951,10.85,NM,NM,NM,Actual
Oct-31-1951,10.08,NM,NM,NM,Actual
Sep-30-1951,11.02,NM,NM,NM,Actual
Aug-31-1951,12,NM,NM,NM,Actual
Jul-31-1951,12.1,NM,NM,NM,Actual
Jun-30-1951,13.01,NM,NM,NM,Actual
May-31-1951,10.57,NM,NM,NM,Actual
Apr-30-1951,10.57,NM,NM,NM,Actual
Mar-31-1951,8.94,NM,NM,NM,Actual
Feb-28-1951,9.02,NM,NM,NM,Actual
Jan-31-1951,7.44,NM,NM,NM,Actual
Dec-31-1950,5.74,NM,NM,NM,Actual
Nov-30-1950,4.88,NM,NM,NM,Actual
Oct-31-1950,4.88,NM,NM,NM,Actual
Sep-30-1950,4.1,NM,NM,NM,Actual
Aug-31-1950,2.46,NM,NM,NM,Actual
Jul-31-1950,2.48,NM,NM,NM,Actual
Jun-30-1950,1.65,NM,NM,NM,Actual
May-31-1950,1.65,NM,NM,NM,Actual
Apr-30-1950,1.65,NM,NM,NM,Actual
Mar-31-1950,1.65,NM,NM,NM,Actual
Feb-28-1950,0.83,NM,NM,NM,Actual
Jan-31-1950,0,NM,NM,NM,Actual
Dec-31-1949,0.83,NM,NM,NM,Actual
Nov-30-1949,1.65,NM,NM,NM,Actual
Oct-31-1949,1.65,NM,NM,NM,Actual
Sep-30-1949,0.83,NM,NM,NM,Actual
Aug-31-1949,2.52,NM,NM,NM,Actual
Jul-31-1949,2.54,NM,NM,NM,Actual
Jun-30-1949,2.54,NM,NM,NM,Actual
May-31-1949,4.31,NM,NM,NM,Actual
Apr-30-1949,5.22,NM,NM,NM,Actual
Mar-31-1949,6.14,NM,NM,NM,Actual
Feb-28-1949,6.14,NM,NM,NM,Actual
Jan-31-1949,8.04,NM,NM,NM,Actual
Dec-31-1948,9.01,NM,NM,NM,Actual
Nov-30-1948,11.01,NM,NM,NM,Actual
Oct-31-1948,12.04,NM,NM,NM,Actual
Sep-30-1948,14.15,NM,NM,NM,Actual
Aug-31-1948,15.53,NM,NM,NM,Actual
Jul-31-1948,14.56,NM,NM,NM,Actual
Jun-30-1948,15.69,NM,NM,NM,Actual
May-31-1948,14.85,NM,NM,NM,Actual
Apr-30-1948,16.16,NM,NM,NM,Actual
Mar-31-1948,16.33,NM,NM,NM,Actual
Feb-29-1948,17.53,NM,NM,NM,Actual
Jan-31-1948,15.46,NM,NM,NM,Actual
Dec-31-1947,14.43,NM,NM,NM,Actual
Nov-30-1947,12.37,NM,NM,NM,Actual
Oct-31-1947,11.34,NM,NM,NM,Actual
Sep-30-1947,10.42,NM,NM,NM,Actual
Aug-31-1947,7.29,NM,NM,NM,Actual
Jul-31-1947,8.42,NM,NM,NM,Actual
Jun-30-1947,8.51,NM,NM,NM,Actual
May-31-1947,9.78,NM,NM,NM,Actual
Apr-30-1947,7.61,NM,NM,NM,Actual
Mar-31-1947,6.52,NM,NM,NM,Actual
Feb-28-1947,5.43,NM,NM,NM,Actual
Jan-31-1947,5.43,NM,NM,NM,Actual
Dec-31-1946,5.43,NM,NM,NM,Actual
Nov-30-1946,5.43,NM,NM,NM,Actual
Oct-31-1946,5.43,NM,NM,NM,Actual
Sep-30-1946,4.35,NM,NM,NM,Actual
Aug-31-1946,4.35,NM,NM,NM,Actual
Jul-31-1946,3.26,NM,NM,NM,Actual
Jun-30-1946,2.17,NM,NM,NM,Actual
May-31-1946,1.1,NM,NM,NM,Actual
Apr-30-1946,1.1,NM,NM,NM,Actual
Mar-31-1946,1.1,NM,NM,NM,Actual
Feb-28-1946,1.1,NM,NM,NM,Actual
Jan-31-1946,2.22,NM,NM,NM,Actual
Dec-31-1945,2.22,NM,NM,NM,Actual
Nov-30-1945,1.1,NM,NM,NM,Actual
Oct-31-1945,1.1,NM,NM,NM,Actual
Sep-30-1945,1.1,NM,NM,NM,Actual
Aug-31-1945,1.1,NM,NM,NM,Actual
Jul-31-1945,1.1,NM,NM,NM,Actual
Jun-30-1945,1.1,NM,NM,NM,Actual
May-31-1945,0,NM,NM,NM,Actual
Apr-30-1945,0,NM,NM,NM,Actual
Mar-31-1945,0,NM,NM,NM,Actual
Feb-28-1945,0,NM,NM,NM,Actual
Jan-31-1945,-1.1,NM,NM,NM,Actual
Dec-31-1944,-2.17,NM,NM,NM,Actual
Nov-30-1944,-1.09,NM,NM,NM,Actual
Oct-31-1944,-1.09,NM,NM,NM,Actual
Sep-30-1944,-1.09,NM,NM,NM,Actual
Aug-31-1944,0,NM,NM,NM,Actual
Jul-31-1944,0,NM,NM,NM,Actual
Jun-30-1944,1.11,NM,NM,NM,Actual
May-31-1944,1.11,NM,NM,NM,Actual
Apr-30-1944,1.11,NM,NM,NM,Actual
Mar-31-1944,3.41,NM,NM,NM,Actual
Feb-29-1944,3.41,NM,NM,NM,Actual
Jan-31-1944,3.41,NM,NM,NM,Actual
Dec-31-1943,2.22,NM,NM,NM,Actual
Nov-30-1943,2.22,NM,NM,NM,Actual
Oct-31-1943,3.37,NM,NM,NM,Actual
Sep-30-1943,4.55,NM,NM,NM,Actual
Aug-31-1943,2.25,NM,NM,NM,Actual
Jul-31-1943,2.25,NM,NM,NM,Actual
Jun-30-1943,2.27,NM,NM,NM,Actual
May-31-1943,2.27,NM,NM,NM,Actual
Apr-30-1943,2.27,NM,NM,NM,Actual
Mar-31-1943,0,NM,NM,NM,Actual
Feb-28-1943,1.15,NM,NM,NM,Actual
Jan-31-1943,1.15,NM,NM,NM,Actual
Dec-31-1942,3.45,NM,NM,NM,Actual
Nov-30-1942,2.27,NM,NM,NM,Actual
Oct-31-1942,2.3,NM,NM,NM,Actual
Sep-30-1942,1.15,NM,NM,NM,Actual
Aug-31-1942,3.49,NM,NM,NM,Actual
Jul-31-1942,4.71,NM,NM,NM,Actual
Jun-30-1942,4.76,NM,NM,NM,Actual
May-31-1942,7.32,NM,NM,NM,Actual
Apr-30-1942,7.32,NM,NM,NM,Actual
Mar-31-1942,7.32,NM,NM,NM,Actual
Feb-28-1942,6.1,NM,NM,NM,Actual
Jan-31-1942,6.1,NM,NM,NM,Actual
Dec-31-1941,6.1,NM,NM,NM,Actual
Nov-30-1941,8.64,NM,NM,NM,Actual
Oct-31-1941,7.41,NM,NM,NM,Actual
Sep-30-1941,7.41,NM,NM,NM,Actual
Aug-31-1941,7.5,NM,NM,NM,Actual
Jul-31-1941,6.25,NM,NM,NM,Actual
Jun-30-1941,6.33,NM,NM,NM,Actual
May-31-1941,3.8,NM,NM,NM,Actual
Apr-30-1941,3.8,NM,NM,NM,Actual
Mar-31-1941,3.8,NM,NM,NM,Actual
Feb-28-1941,5.13,NM,NM,NM,Actual
Jan-31-1941,5.13,NM,NM,NM,Actual
Dec-31-1940,5.13,NM,NM,NM,Actual
Nov-30-1940,3.85,NM,NM,NM,Actual
Oct-31-1940,3.85,NM,NM,NM,Actual
Sep-30-1940,6.58,NM,NM,NM,Actual
Aug-31-1940,5.26,NM,NM,NM,Actual
Jul-31-1940,5.26,NM,NM,NM,Actual
Jun-30-1940,3.95,NM,NM,NM,Actual
May-31-1940,3.95,NM,NM,NM,Actual
Apr-30-1940,3.95,NM,NM,NM,Actual
Mar-31-1940,3.95,NM,NM,NM,Actual
Feb-29-1940,2.63,NM,NM,NM,Actual
Jan-31-1940,2.63,NM,NM,NM,Actual
Dec-31-1939,2.63,NM,NM,NM,Actual
Nov-30-1939,2.63,NM,NM,NM,Actual
Oct-31-1939,2.63,NM,NM,NM,Actual
Sep-30-1939,-1.3,NM,NM,NM,Actual
Aug-31-1939,-2.56,NM,NM,NM,Actual
Jul-31-1939,-2.56,NM,NM,NM,Actual
Jun-30-1939,-1.3,NM,NM,NM,Actual
May-31-1939,-1.3,NM,NM,NM,Actual
Apr-30-1939,-2.56,NM,NM,NM,Actual
Mar-31-1939,-2.56,NM,NM,NM,Actual
Feb-28-1939,-1.3,NM,NM,NM,Actual
Jan-31-1939,-1.3,NM,NM,NM,Actual
Dec-31-1938,-2.56,NM,NM,NM,Actual
Nov-30-1938,-2.56,NM,NM,NM,Actual
Oct-31-1938,-2.56,NM,NM,NM,Actual
Sep-30-1938,0,NM,NM,NM,Actual
Aug-31-1938,1.3,NM,NM,NM,Actual
Jul-31-1938,2.63,NM,NM,NM,Actual
Jun-30-1938,1.32,NM,NM,NM,Actual
May-31-1938,1.32,NM,NM,NM,Actual
Apr-30-1938,2.63,NM,NM,NM,Actual
Mar-31-1938,2.63,NM,NM,NM,Actual
Feb-28-1938,1.32,NM,NM,NM,Actual
Jan-31-1938,1.32,NM,NM,NM,Actual
Dec-31-1937,4,NM,NM,NM,Actual
Nov-30-1937,4,NM,NM,NM,Actual
Oct-31-1937,4,NM,NM,NM,Actual
Sep-30-1937,4.05,NM,NM,NM,Actual
Aug-31-1937,4.05,NM,NM,NM,Actual
Jul-31-1937,2.7,NM,NM,NM,Actual
Jun-30-1937,4.11,NM,NM,NM,Actual
May-31-1937,4.11,NM,NM,NM,Actual
Apr-30-1937,4.11,NM,NM,NM,Actual
Mar-31-1937,2.7,NM,NM,NM,Actual
Feb-28-1937,2.7,NM,NM,NM,Actual
Jan-31-1937,2.7,NM,NM,NM,Actual
Dec-31-1936,1.35,NM,NM,NM,Actual
Nov-30-1936,1.35,NM,NM,NM,Actual
Oct-31-1936,2.74,NM,NM,NM,Actual
Sep-30-1936,1.37,NM,NM,NM,Actual
Aug-31-1936,2.78,NM,NM,NM,Actual
Jul-31-1936,2.78,NM,NM,NM,Actual
Jun-30-1936,1.39,NM,NM,NM,Actual
May-31-1936,1.39,NM,NM,NM,Actual
Apr-30-1936,1.39,NM,NM,NM,Actual
Mar-31-1936,2.78,NM,NM,NM,Actual
Feb-29-1936,2.78,NM,NM,NM,Actual
Jan-31-1936,2.78,NM,NM,NM,Actual
Dec-31-1935,2.78,NM,NM,NM,Actual
Nov-30-1935,2.78,NM,NM,NM,Actual
Oct-31-1935,1.39,NM,NM,NM,Actual
Sep-30-1935,1.39,NM,NM,NM,Actual
Aug-31-1935,0,NM,NM,NM,Actual
Jul-31-1935,0,NM,NM,NM,Actual
Jun-30-1935,0,NM,NM,NM,Actual
May-31-1935,0,NM,NM,NM,Actual
Apr-30-1935,-1.37,NM,NM,NM,Actual
Mar-31-1935,-1.37,NM,NM,NM,Actual
Feb-28-1935,0,NM,NM,NM,Actual
Jan-31-1935,0,NM,NM,NM,Actual
Dec-31-1934,1.41,NM,NM,NM,Actual
Nov-30-1934,1.41,NM,NM,NM,Actual
Oct-31-1934,1.41,NM,NM,NM,Actual
Sep-30-1934,0,NM,NM,NM,Actual
Aug-31-1934,0,NM,NM,NM,Actual
Jul-31-1934,1.41,NM,NM,NM,Actual
Jun-30-1934,1.41,NM,NM,NM,Actual
May-31-1934,1.41,NM,NM,NM,Actual
Apr-30-1934,2.82,NM,NM,NM,Actual
Mar-31-1934,2.82,NM,NM,NM,Actual
Feb-28-1934,0,NM,NM,NM,Actual
Jan-31-1934,0,NM,NM,NM,Actual
Dec-31-1933,-2.74,NM,NM,NM,Actual
Nov-30-1933,-2.74,NM,NM,NM,Actual
Oct-31-1933,-2.74,NM,NM,NM,Actual
Sep-30-1933,-2.7,NM,NM,NM,Actual
Aug-31-1933,-2.7,NM,NM,NM,Actual
Jul-31-1933,-4.05,NM,NM,NM,Actual
Jun-30-1933,-4.05,NM,NM,NM,Actual
May-31-1933,-4.05,NM,NM,NM,Actual
Apr-30-1933,-6.58,NM,NM,NM,Actual
Mar-31-1933,-6.58,NM,NM,NM,Actual
Feb-28-1933,-5.26,NM,NM,NM,Actual
Jan-31-1933,-7.69,NM,NM,NM,Actual
Dec-31-1932,-7.59,NM,NM,NM,Actual
Nov-30-1932,-7.59,NM,NM,NM,Actual
Oct-31-1932,-7.59,NM,NM,NM,Actual
Sep-30-1932,-8.64,NM,NM,NM,Actual
Aug-31-1932,-9.76,NM,NM,NM,Actual
Jul-31-1932,-8.64,NM,NM,NM,Actual
Jun-30-1932,-9.76,NM,NM,NM,Actual
May-31-1932,-10.84,NM,NM,NM,Actual
Apr-30-1932,-9.52,NM,NM,NM,Actual
Mar-31-1932,-10.59,NM,NM,NM,Actual
Feb-29-1932,-11.63,NM,NM,NM,Actual
Jan-31-1932,-10.34,NM,NM,NM,Actual
Dec-31-1931,-10.23,NM,NM,NM,Actual
Nov-30-1931,-11.24,NM,NM,NM,Actual
Oct-31-1931,-11.24,NM,NM,NM,Actual
Sep-30-1931,-8.99,NM,NM,NM,Actual
Aug-31-1931,-10.87,NM,NM,NM,Actual
Jul-31-1931,-11.96,NM,NM,NM,Actual
Jun-30-1931,-10.87,NM,NM,NM,Actual
May-31-1931,-9.78,NM,NM,NM,Actual
Apr-30-1931,-8.7,NM,NM,NM,Actual
Mar-31-1931,-8.6,NM,NM,NM,Actual
Feb-28-1931,-8.51,NM,NM,NM,Actual
Jan-31-1931,-7.45,NM,NM,NM,Actual
Dec-31-1930,-6.38,NM,NM,NM,Actual
Nov-30-1930,-4.3,NM,NM,NM,Actual
Oct-31-1930,-4.3,NM,NM,NM,Actual
Sep-30-1930,-3.26,NM,NM,NM,Actual
Aug-31-1930,0,NM,NM,NM,Actual
Jul-31-1930,0,NM,NM,NM,Actual
Jun-30-1930,0,NM,NM,NM,Actual
May-31-1930,0,NM,NM,NM,Actual
Apr-30-1930,1.1,NM,NM,NM,Actual
Mar-31-1930,1.09,NM,NM,NM,Actual
Feb-28-1930,2.17,NM,NM,NM,Actual
Jan-31-1930,2.17,NM,NM,NM,Actual
Dec-31-1929,2.17,NM,NM,NM,Actual
Nov-30-1929,1.09,NM,NM,NM,Actual
Oct-31-1929,1.09,NM,NM,NM,Actual
Sep-30-1929,0,NM,NM,NM,Actual
Aug-31-1929,0,NM,NM,NM,Actual
Jul-31-1929,2.22,NM,NM,NM,Actual
Jun-30-1929,2.22,NM,NM,NM,Actual
May-31-1929,2.22,NM,NM,NM,Actual
Apr-30-1929,0,NM,NM,NM,Actual
Mar-31-1929,1.1,NM,NM,NM,Actual
Feb-28-1929,0,NM,NM,NM,Actual
Jan-31-1929,0,NM,NM,NM,Actual
Dec-31-1928,1.1,NM,NM,NM,Actual
Nov-30-1928,1.1,NM,NM,NM,Actual
Oct-31-1928,2.22,NM,NM,NM,Actual
Sep-30-1928,2.22,NM,NM,NM,Actual
Aug-31-1928,2.22,NM,NM,NM,Actual
Jul-31-1928,-1.1,NM,NM,NM,Actual
Jun-30-1928,0,NM,NM,NM,Actual
May-31-1928,0,NM,NM,NM,Actual
Apr-30-1928,1.11,NM,NM,NM,Actual
Mar-31-1928,0,NM,NM,NM,Actual
Feb-29-1928,0,NM,NM,NM,Actual
Jan-31-1928,0,NM,NM,NM,Actual
Dec-31-1927,-1.09,NM,NM,NM,Actual
Nov-30-1927,-1.09,NM,NM,NM,Actual
Oct-31-1927,-2.17,NM,NM,NM,Actual
Sep-30-1927,-2.17,NM,NM,NM,Actual
Aug-31-1927,-2.17,NM,NM,NM,Actual
Jul-31-1927,-1.09,NM,NM,NM,Actual
Jun-30-1927,-2.17,NM,NM,NM,Actual
May-31-1927,-2.17,NM,NM,NM,Actual
Apr-30-1927,-2.17,NM,NM,NM,Actual
Mar-31-1927,-1.09,NM,NM,NM,Actual
Feb-28-1927,0,NM,NM,NM,Actual
Jan-31-1927,0,NM,NM,NM,Actual
Dec-31-1926,-1.08,NM,NM,NM,Actual
Nov-30-1926,0,NM,NM,NM,Actual
Oct-31-1926,0,NM,NM,NM,Actual
Sep-30-1926,1.1,NM,NM,NM,Actual
Aug-31-1926,1.1,NM,NM,NM,Actual
Jul-31-1926,2.22,NM,NM,NM,Actual
Jun-30-1926,2.22,NM,NM,NM,Actual
May-31-1926,2.22,NM,NM,NM,Actual
Apr-30-1926,1.1,NM,NM,NM,Actual
Mar-31-1926,0,NM,NM,NM,Actual
Feb-28-1926,0,NM,NM,NM,Actual
Jan-31-1926,0,NM,NM,NM,Actual
Dec-31-1925,2.2,NM,NM,NM,Actual
Nov-30-1925,1.1,NM,NM,NM,Actual
Oct-31-1925,2.22,NM,NM,NM,Actual
Sep-30-1925,1.11,NM,NM,NM,Actual
Aug-31-1925,1.11,NM,NM,NM,Actual
Jul-31-1925,2.27,NM,NM,NM,Actual
Jun-30-1925,2.27,NM,NM,NM,Actual
May-31-1925,1.12,NM,NM,NM,Actual
Apr-30-1925,1.11,NM,NM,NM,Actual
Mar-31-1925,0,NM,NM,NM,Actual
Feb-28-1925,0,NM,NM,NM,Actual
Jan-31-1925,0,NM,NM,NM,Actual
Dec-31-1924,-1.09,NM,NM,NM,Actual
Nov-30-1924,-1.09,NM,NM,NM,Actual
Oct-31-1924,-2.17,NM,NM,NM,Actual
Sep-30-1924,-2.17,NM,NM,NM,Actual
Aug-31-1924,-2.17,NM,NM,NM,Actual
Jul-31-1924,-3.3,NM,NM,NM,Actual
Jun-30-1924,-4.35,NM,NM,NM,Actual
May-31-1924,-3.26,NM,NM,NM,Actual
Apr-30-1924,-2.17,NM,NM,NM,Actual
Mar-31-1924,-1.08,NM,NM,NM,Actual
Feb-29-1924,0,NM,NM,NM,Actual
Jan-31-1924,0,NM,NM,NM,Actual
Dec-31-1923,0,NM,NM,NM,Actual
