"Date","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","Number of Immigrants","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","51123","","","","0"
"2015-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","72091","","","","0"
"2015-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","78902","","","","0"
"2015-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69741","","","","0"
"2016-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","86247","","","","0"
"2016-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","88302","","","","0"
"2016-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","68242","","","","0"
"2016-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","53614","","","","0"
"2017-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","72839","","","","0"
"2017-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","78012","","","","0"
"2017-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","70109","","","","0"
"2017-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","65530","","","","0"
"2018-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","80007","","","","0"
"2018-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","87679","","","","0"
"2018-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","82283","","","","0"
"2018-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","71080","","","","0"
"2019-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","65957","","","","0"
"2019-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","94281","","","","0"
"2019-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","103719","","","","0"
"2019-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","77235","","","","0"
"2020-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","69133","","","","0"
"2020-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","34070","","","","0"
"2020-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","40116","","","","0"
"2020-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","41267","","","","0"
"2021-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","70487","","","","0"
"2021-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","74438","","","","0"
"2021-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","122911","","","","0"
"2021-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","138190","","","","0"
"2022-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","113769","","","","0"
"2022-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","118114","","","","0"
"2022-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","122145","","","","0"
